iter	MAE	RMSE
101	112.7453978	185.1011774
102	112.6182381	184.9252596
103	112.4346644	184.6745626
104	112.2234222	184.4094476
105	112.1600563	184.2933388
106	112.013955	184.1018174
107	111.7912719	183.7213069
108	111.7162287	183.5587663
109	111.5212304	183.2578305
110	111.4443918	183.0958074
111	111.274388	182.8632455
112	111.1816932	182.7154392
113	111.122763	182.6118542
114	110.8725923	182.3821105
115	110.7846354	182.3061858
116	110.7026077	182.1696313
117	110.6526741	182.0642144
118	110.5936817	181.8948319
119	110.5000057	181.721406
120	110.3403625	181.407395
121	110.2535314	181.2611242
122	110.0740041	180.9586726
123	110.0153109	180.8606027
124	109.9097153	180.6779246
125	109.7251343	180.4682899
126	109.6483757	180.3448069
127	109.4331053	180.0846409
128	109.3032485	179.9035285
129	109.2018034	179.7107938
130	109.0892759	179.5161907
131	108.8432948	179.2872257
132	108.7583997	179.192745
133	108.5622756	179.0255171
134	108.4425172	178.8299093
135	108.3089016	178.5860057
136	108.190462	178.4391574
137	108.1112016	178.3240548
138	107.9799318	178.1479455
139	107.928353	178.0298602
140	107.8694291	177.936615
141	107.758101	177.785095
142	107.6096822	177.5064526
143	107.5371031	177.3648981
144	107.4562921	177.2441351
145	107.403098	177.1879193
146	107.3527493	177.1285118
147	107.2578414	176.9613482
148	107.1668753	176.8339178
149	107.1194589	176.7402986
150	106.9684074	176.5355034
151	106.9077811	176.4559703
152	106.8805743	176.3971563
153	106.7226026	176.2649337
154	106.6448965	176.1466683
155	106.6118263	176.0887417
156	106.5859592	176.0402067
157	106.5674203	176.0005114
158	106.4484808	175.834365
159	106.3875218	175.7457501
160	106.3190446	175.6195606
161	106.2401918	175.4791648
162	106.1467073	175.3573034
163	106.0618251	175.2316364
164	105.9964744	175.1506409
165	105.8950813	175.0199497
166	105.8748334	174.9684395
167	105.8295199	174.9223856
168	105.7668308	174.874655
169	105.6495402	174.6822023
170	105.5856731	174.5663032
171	105.4789111	174.3877005
172	105.4147539	174.2830825
173	105.3412215	174.1722764
174	105.2708947	174.0485694
175	105.1816357	173.8824438
176	105.1585556	173.8537124
177	105.1259835	173.8159451
178	104.9856083	173.6832775
179	104.9301143	173.6221866
180	104.6919633	173.4357598
181	104.6665044	173.3169229
182	104.5754475	173.2180025
183	104.4966035	173.1137102
184	104.45933	173.0729473
185	104.3964003	172.9646194
186	104.347364	172.8530742
187	104.2289688	172.6646772
188	104.1216484	172.5515455
189	104.108023	172.529251
190	104.0095022	172.433681
191	103.9215758	172.3205859
192	103.8217467	172.2103879
193	103.774518	172.1274795
194	103.7186801	172.0547545
195	103.6625251	171.9573447
196	103.61553	171.8745189
197	103.5754749	171.7986689
198	103.4515822	171.6874642
199	103.3803605	171.5419496
200	103.3014758	171.4180055
201	103.1722878	171.3105707
202	103.1138783	171.1895228
203	103.0265331	171.0482841
204	102.906791	170.9072168
205	102.7982906	170.7845896
206	102.7351666	170.7018442
207	102.6401298	170.5717646
208	102.5646224	170.4412234
209	102.510419	170.3614192
210	102.4257462	170.1585202
211	102.4169173	170.1479886
212	102.3030304	169.9388243
213	102.2523135	169.851908
214	102.1678047	169.6428675
215	102.0758806	169.5414574
216	102.0324954	169.3861478
217	101.8932246	169.1977199
218	101.7933972	169.0192418
219	101.7579275	168.9431337
220	101.6850465	168.7863176
221	101.5986903	168.6414113
222	101.5345062	168.5395834
223	101.4596539	168.4535551
224	101.3992787	168.3488853
225	101.3421495	168.2416042
226	101.2571898	168.0984115
227	101.2303773	168.0116505
228	101.1770117	167.9233864
229	101.1289947	167.8741878
230	101.0780302	167.8022525
231	100.9880439	167.7116824
232	100.9422012	167.6515972
233	100.893406	167.5788254
234	100.7573457	167.4340022
235	100.7459138	167.4155482
236	100.687821	167.3372361
237	100.6426516	167.2779277
238	100.573579	167.2239377
239	100.4115037	167.0912154
240	100.3908564	167.0294812
241	100.38672	167.0246754
242	100.3622541	166.9119358
243	100.3052364	166.8332614
244	100.2541723	166.7631656
245	100.204164	166.7004182
246	100.1728539	166.6362026
247	100.1020684	166.5628055
248	100.0734243	166.4863864
249	100.0050054	166.3766171
250	99.97146654	166.28519
251	99.9162847	166.1895155
252	99.85021051	166.0973506
253	99.68073187	165.9561175
254	99.63024466	165.8758673
255	99.48966351	165.7591756
256	99.42441288	165.6909188
257	99.39188115	165.6217178
258	99.38000091	165.5937451
259	99.35532386	165.5106201
260	99.26726863	165.414229
261	99.22417697	165.3362204
262	99.20308	165.3060423
263	99.18539496	165.2536797
264	99.180451	165.2429558
265	99.10760856	165.1648847
266	99.03169501	165.033417
267	98.97803594	164.9321427
268	98.93600301	164.8540916
269	98.90692739	164.7979963
270	98.85875119	164.6822969
271	98.8372425	164.6297396
272	98.81925041	164.6042512
273	98.8103726	164.5841006
274	98.66597031	164.4120237
275	98.64545015	164.3537545
276	98.60958868	164.2450558
277	98.59598686	164.2174817
278	98.54814808	164.1367062
279	98.54120185	164.1108689
280	98.51614106	164.0839406
281	98.47723403	164.0187649
282	98.47009431	164.0014106
283	98.46631171	163.9931769
284	98.42519244	163.9491833
285	98.37835561	163.8438542
286	98.34437325	163.778364
287	98.31138367	163.7157034
288	98.22200632	163.6287289
289	98.18531528	163.5549649
290	98.15786497	163.5296423
291	98.11663867	163.4876137
292	98.1086716	163.4141065
293	98.08120061	163.3742501
294	98.05405166	163.3412249
295	97.99291414	163.2361813
296	97.9883216	163.2159487
297	97.94069091	163.1356794
298	97.82716065	163.0563793
299	97.78033555	163.01917
300	97.7166983	162.9457982
301	97.71221518	162.9322786
302	97.62269703	162.8564478
303	97.5992774	162.8052119
304	97.5616536	162.7544859
305	97.54082928	162.7261244
306	97.53797764	162.7187033
307	97.45640909	162.6043066
308	97.41826593	162.5405633
309	97.35675571	162.4389476
310	97.29663975	162.3465913
311	97.26961533	162.2845621
312	97.24019178	162.2411714
313	97.22588079	162.2109117
314	97.20228404	162.1753576
315	97.09291986	161.9829677
316	97.06120216	161.9337386
317	97.01789836	161.8548106
318	97.0161802	161.849046
319	97.01481641	161.8430041
320	96.99444013	161.787331
321	96.9602653	161.7388326
322	96.90480934	161.6540619
323	96.86510083	161.5915164
324	96.81289981	161.5463885
325	96.76508028	161.4967127
326	96.74456066	161.4624605
327	96.72911067	161.4368804
328	96.72815325	161.4308274
329	96.67601571	161.3631078
330	96.63876052	161.3061025
331	96.62095032	161.2712033
332	96.61985104	161.2665679
333	96.59900838	161.2157457
334	96.59763899	161.2136073
335	96.59015951	161.1931637
336	96.5576565	161.1541941
337	96.5366358	161.1397101
338	96.4669848	161.0284668
339	96.45078918	161.0050605
340	96.42446545	160.9516918
341	96.41885505	160.944628
342	96.40782045	160.928791
343	96.40733547	160.9170692
344	96.40708844	160.9166656
345	96.39689731	160.8928354
346	96.38303245	160.8681086
347	96.38214466	160.8663481
348	96.38124248	160.864742
349	96.24210213	160.7302472
350	96.20045577	160.6841864
351	96.17524279	160.6453209
352	96.12203858	160.5309692
353	96.04657974	160.4362937
354	95.9994682	160.3700299
355	95.99202735	160.3616848
356	95.9547791	160.3301431
357	95.90951226	160.2744861
358	95.8718949	160.2151598
359	95.83423742	160.1584244
360	95.82911979	160.1478344
361	95.79306989	160.0928713
362	95.79224689	160.0855247
363	95.73450005	160.0077523
364	95.71232604	159.9649706
365	95.71132257	159.9636228
366	95.71049056	159.9624096
367	95.68947809	159.9198044
368	95.67764893	159.9022365
369	95.66818165	159.8877631
370	95.66843611	159.8783121
371	95.65842363	159.860789
372	95.6358541	159.8336289
373	95.61950376	159.8045547
374	95.58603224	159.75792
375	95.56589953	159.722029
376	95.5591454	159.716446
377	95.55242049	159.7064856
378	95.49887311	159.6653912
379	95.46834664	159.631277
380	95.43685811	159.5977847
381	95.42594738	159.5816935
382	95.38756982	159.5207427
383	95.35373934	159.4736948
384	95.32261032	159.4336652
385	95.31873344	159.425496
386	95.27832296	159.3584523
387	95.279343	159.3507192
388	95.25719249	159.2977954
389	95.23609851	159.2727634
390	95.21353479	159.2363909
391	95.20155737	159.2086265
392	95.20061579	159.2027514
393	95.14457364	159.1588497
394	95.14067618	159.1532248
395	95.04679609	158.9760441
396	95.03518433	158.9497813
397	94.92907488	158.8667677
398	94.89181493	158.8136535
399	94.86685747	158.7799692
400	94.83954549	158.7511017
401	94.82437463	158.7284487
402	94.79581748	158.6883548
403	94.78077874	158.6612435
404	94.735965	158.5799836
405	94.7355163	158.5756442
406	94.72961386	158.5648436
407	94.69262001	158.5117573
408	94.69048223	158.5088995
409	94.68966133	158.5077717
410	94.68901564	158.5065694
411	94.65875796	158.4656329
412	94.61595216	158.4134487
413	94.60087639	158.394098
414	94.58489837	158.3728127
415	94.55194971	158.3209969
416	94.51878613	158.265702
417	94.51756322	158.2601984
418	94.48955228	158.2411009
419	94.46474701	158.2015619
420	94.46395127	158.2005409
421	94.44810819	158.1689805
422	94.41338723	158.1375067
423	94.33627553	158.0149729
424	94.33545361	158.0137575
425	94.27837203	157.9452795
426	94.23617429	157.9041293
427	94.22735835	157.8921737
428	94.20010241	157.8515048
429	94.16527256	157.814918
430	94.13336395	157.7681292
431	94.1088888	157.7120106
432	94.06575888	157.6507649
433	94.0232235	157.6089471
434	93.96516822	157.5308939
435	93.8678608	157.4246807
436	93.82932247	157.388756
437	93.80837077	157.339529
438	93.80519068	157.3319161
439	93.80326726	157.3266174
440	93.7720574	157.2679635
441	93.73984163	157.2318871
442	93.70814995	157.181637
443	93.60869745	157.0422635
444	93.59430809	157.0216681
445	93.58662846	156.9782142
446	93.58162317	156.9693397
447	93.58032576	156.960421
448	93.57594989	156.9558714
449	93.53733975	156.9138848
450	93.51975839	156.888196
451	93.4705161	156.8218997
452	93.45132305	156.7855904
453	93.44381001	156.7664975
454	93.43815849	156.754636
455	93.41672591	156.7312825
456	93.39944404	156.6811666
457	93.36437314	156.6032032
458	93.34327902	156.5811921
459	93.3248816	156.5245334
460	93.31471987	156.4988706
461	93.29143128	156.4637281
462	93.28317926	156.4482953
463	93.21556125	156.4026118
464	93.11031351	156.3207865
465	93.06452455	156.2694443
466	93.04451519	156.2389959
467	93.00899865	156.1932378
468	93.00128886	156.1721107
469	92.98606306	156.1524093
470	92.96679999	156.1229628
471	92.9084752	156.0529515
472	92.89794771	156.0124373
473	92.8966144	156.0106168
474	92.87216242	155.9663967
475	92.86603058	155.957739
476	92.84978415	155.939716
477	92.7884512	155.8352578
478	92.77335472	155.8200387
479	92.73561282	155.7893511
480	92.73250913	155.7851479
481	92.71071794	155.7604035
482	92.69296338	155.7329187
483	92.68299557	155.724244
484	92.67110527	155.7055913
485	92.64314109	155.6518771
486	92.63338081	155.6403776
487	92.55914587	155.5881628
488	92.50154475	155.4145161
489	92.49949728	155.4088053
490	92.46217083	155.3684836
491	92.43880825	155.3326267
492	92.40909504	155.2617061
493	92.40942628	155.2577359
494	92.39721655	155.2402544
495	92.35016706	155.216259
496	92.34204185	155.2086431
497	92.33641156	155.1957941
498	92.31045506	155.1720118
499	92.30043833	155.1570319
500	92.26290136	155.1019823
501	92.23196165	155.0380561
502	92.20828282	154.9917746
503	92.13105358	154.8919365
504	92.11025623	154.8444391
505	92.08097686	154.8077942
506	92.08143298	154.8050518
507	92.03990345	154.6587394
508	92.03882259	154.6560228
509	92.03258999	154.6478748
510	91.97917786	154.5992097
511	91.97188859	154.5863781
512	91.95242386	154.5691531
513	91.95158176	154.5668544
514	91.95026639	154.5596696
515	91.93036857	154.5277924
516	91.916846	154.5063985
517	91.91368934	154.4912799
518	91.85224797	154.4191844
519	91.84833601	154.4046167
520	91.80025285	154.3377754
521	91.79250672	154.3145868
522	91.7649079	154.2887476
523	91.76304012	154.2831392
524	91.76290884	154.2742447
525	91.75205214	154.2591651
526	91.73379818	154.216048
527	91.70589185	154.1706092
528	91.67151842	154.1392867
529	91.64812432	154.0882761
530	91.64710519	154.0859823
531	91.63950129	154.0745669
532	91.63726599	154.0680062
533	91.62814932	154.048901
534	91.62698676	154.0441529
535	91.60388734	154.0106052
536	91.56669527	153.9539358
537	91.54591587	153.9152564
538	91.53869714	153.9018232
539	91.5087687	153.8306566
540	91.5013209	153.8178904
541	91.46588828	153.77281
542	91.44143276	153.7318588
543	91.4231203	153.6973484
544	91.39257026	153.6565767
545	91.35949403	153.6084303
546	91.34722039	153.5950806
547	91.31249279	153.5653589
548	91.27659079	153.5251779
549	91.26876012	153.4838172
550	91.22056925	153.432312
551	91.20466851	153.4028737
552	91.15803728	153.324542
553	91.15542586	153.3165153
554	91.13050012	153.265867
555	91.09363828	153.2218871
556	91.03783861	153.1606116
557	91.03065808	153.1454489
558	91.02951551	153.1423455
559	91.00674287	153.1136662
560	91.00627575	153.1102161
561	90.9804594	153.0873239
562	90.97456747	153.0758569
563	90.94902808	153.0534707
564	90.94490803	153.0477443
565	90.93890122	153.0405084
566	90.89759855	152.9909432
567	90.89306071	152.9831278
568	90.87055945	152.9691145
569	90.86627925	152.959782
570	90.82782706	152.9143671
571	90.82378991	152.9082615
572	90.79531651	152.8784769
573	90.76430259	152.8418512
574	90.75464066	152.8316297
575	90.73212536	152.7976074
576	90.70436218	152.7623257
577	90.70339264	152.7613379
578	90.67458161	152.7388061
579	90.6594436	152.7158055
580	90.62953536	152.689169
581	90.61970925	152.674362
582	90.58770441	152.6460452
583	90.58634646	152.6403298
584	90.57201171	152.6168718
585	90.54926279	152.589173
586	90.48439831	152.5114907
587	90.4825183	152.5094452
588	90.48187545	152.5042532
589	90.44029221	152.4542861
590	90.43238517	152.4369767
591	90.40152745	152.4087595
592	90.36181975	152.3601883
593	90.30721179	152.278113
594	90.30378786	152.2543622
595	90.27992782	152.2217187
596	90.28186959	152.2130599
597	90.2815013	152.2088977
598	90.2807819	152.2070696
599	90.27789173	152.204185
