,Collection,BrandLine,Material,StyleCode,GridValue,Style,Region,Size,Color,Month,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName
30,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2024-03,16.0,tortoise,shiny,0.0,Sun,Calvin Klein
31,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2024-04,33.0,tortoise,shiny,0.0,Sun,Calvin Klein
32,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2024-05,68.0,tortoise,shiny,0.0,Sun,Calvin Klein
33,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2024-06,47.0,tortoise,shiny,0.0,Sun,Calvin Klein
34,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2024-07,24.0,tortoise,shiny,0.0,Sun,Calvin Klein
35,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2024-08,21.0,tortoise,shiny,0.0,Sun,Calvin Klein
36,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2023-09,21.0,tortoise,shiny,0.0,Sun,Calvin Klein
37,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2023-10,15.0,tortoise,shiny,0.0,Sun,Calvin Klein
38,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2023-11,11.0,tortoise,shiny,0.0,Sun,Calvin Klein
39,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2023-12,8.0,tortoise,shiny,0.0,Sun,Calvin Klein
40,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2024-01,34.0,tortoise,shiny,0.0,Sun,Calvin Klein
41,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2024-02,61.0,tortoise,shiny,0.0,Sun,Calvin Klein
42,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2024-03,55.0,tortoise,shiny,0.0,Sun,Calvin Klein
43,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2024-04,39.0,tortoise,shiny,0.0,Sun,Calvin Klein
44,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2024-05,43.0,tortoise,shiny,0.0,Sun,Calvin Klein
45,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2024-06,23.0,tortoise,shiny,0.0,Sun,Calvin Klein
46,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2024-07,20.0,tortoise,shiny,0.0,Sun,Calvin Klein
47,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA,57,DARK TOR,2024-08,7.0,tortoise,shiny,0.0,Sun,Calvin Klein
48,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2023-09,11.0,crystal,shiny,0.0,Sun,Calvin Klein
49,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2023-10,21.0,crystal,shiny,0.0,Sun,Calvin Klein
50,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2023-11,15.0,crystal,shiny,0.0,Sun,Calvin Klein
51,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2023-12,17.0,crystal,shiny,0.0,Sun,Calvin Klein
52,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2024-01,12.0,crystal,shiny,0.0,Sun,Calvin Klein
53,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2024-02,8.0,crystal,shiny,0.0,Sun,Calvin Klein
54,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2024-03,11.0,crystal,shiny,0.0,Sun,Calvin Klein
55,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2024-04,11.0,crystal,shiny,0.0,Sun,Calvin Klein
56,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2024-05,15.0,crystal,shiny,0.0,Sun,Calvin Klein
57,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2024-06,7.0,crystal,shiny,0.0,Sun,Calvin Klein
58,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2024-07,19.0,crystal,shiny,0.0,Sun,Calvin Klein
59,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER,57,CRYSTAL,2024-08,12.0,crystal,shiny,0.0,Sun,Calvin Klein
60,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2023-09,5.0,crystal,shiny,0.0,Sun,Calvin Klein
61,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2023-10,5.0,crystal,shiny,0.0,Sun,Calvin Klein
62,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2023-11,4.0,crystal,shiny,0.0,Sun,Calvin Klein
63,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2023-12,4.0,crystal,shiny,0.0,Sun,Calvin Klein
64,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2024-01,13.0,crystal,shiny,0.0,Sun,Calvin Klein
65,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2024-02,22.0,crystal,shiny,0.0,Sun,Calvin Klein
66,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2024-03,8.0,crystal,shiny,0.0,Sun,Calvin Klein
67,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2024-04,3.0,crystal,shiny,0.0,Sun,Calvin Klein
68,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2024-05,3.0,crystal,shiny,0.0,Sun,Calvin Klein
69,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2024-06,7.0,crystal,shiny,0.0,Sun,Calvin Klein
70,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2024-07,5.0,crystal,shiny,0.0,Sun,Calvin Klein
71,KC,CALVIN KLEIN SUN,45073,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA,57,CRYSTAL,2024-08,3.0,crystal,shiny,0.0,Sun,Calvin Klein
72,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2023-09,33.0,black,shiny,0.0,Sun,Calvin Klein
73,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2023-10,34.0,black,shiny,0.0,Sun,Calvin Klein
74,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2023-11,23.0,black,shiny,0.0,Sun,Calvin Klein
75,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2023-12,30.0,black,shiny,0.0,Sun,Calvin Klein
76,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2024-01,19.0,black,shiny,0.0,Sun,Calvin Klein
77,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2024-02,34.0,black,shiny,0.0,Sun,Calvin Klein
78,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2024-03,20.0,black,shiny,0.0,Sun,Calvin Klein
79,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2024-04,34.0,black,shiny,0.0,Sun,Calvin Klein
80,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2024-05,41.0,black,shiny,0.0,Sun,Calvin Klein
