,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor,Date,Glasses_3m_avg_x,Sunglasses_3m_avg_x,acetate frame glasses_x,Calvin Klein frames_x,FSA glasses_x,Lacoste frames_x,metal frame glasses_x,Nike frames_x,Glasses_3m_avg_y,Sunglasses_3m_avg_y,acetate frame glasses_y,Calvin Klein frames_y,FSA glasses_y,Lacoste frames_y,metal frame glasses_y,Nike frames_y
13,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424B1,M,Full,Sun,54-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,235,DARK HAVANA,CHINA ONLY,"112,50","92,50",CK24532S,ADV,"225,00",AVANTGARDE,Rectangle,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
14,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424B1,M,Full,Sun,54-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,261,CARAMEL,CHINA ONLY,"112,50","92,50",CK24532S,Potential ADV,"225,00",AVANTGARDE,Rectangle,,other,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
15,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424B1,M,Full,Sun,54-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,330,KHAKI,CHINA ONLY,"112,50","92,50",CK24532S,Potential ADV,"225,00",AVANTGARDE,Rectangle,,beige,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
16,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635C1,F,Full,Sun,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,1,BLACK,CHINA ONLY,"112,50","92,50",CK24533S,,"225,00",AVANTGARDE,Rectangle,,black,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
17,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635C1,F,Full,Sun,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,2,BLACK/CHARCOAL,CHINA ONLY,"112,50","92,50",CK24533S,,"225,00",AVANTGARDE,Rectangle,,black,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
18,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635C1,F,Full,Sun,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,240,HAVANA,CHINA ONLY,"112,50","92,50",CK24533S,,"225,00",AVANTGARDE,Rectangle,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
19,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635C1,F,Full,Sun,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,272,NUDE,CHINA ONLY,"112,50","92,50",CK24533S,,"225,00",AVANTGARDE,Rectangle,,beige,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
20,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635D1,U,Full,Sun,54-19-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,1,BLACK,CHINA ONLY,"112,50","92,50",CK24534S,Potential ADV,"225,00",AVANTGARDE,Cat-eye,,black,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
21,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635D1,U,Full,Sun,54-19-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,235,DARK HAVANA,CHINA ONLY,"112,50","92,50",CK24534S,Potential ADV,"225,00",AVANTGARDE,Cat-eye,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
22,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635D1,U,Full,Sun,54-19-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,278,LIGHT BROWN,CHINA ONLY,"112,50","92,50",CK24534S,Potential ADV,"225,00",AVANTGARDE,Cat-eye,,brown,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
