,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor
17,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635C1,F,FULL RIM,Sun,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,2,BLACK/CHARCOAL,CHINA ONLY,"112,50","92,50",CK24533S,,"225,00",AVANTGARDE,MODIFIED RECTANGLE,,black,shiny,1
18,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635C1,F,FULL RIM,Sun,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,240,HAVANA,CHINA ONLY,"112,50","92,50",CK24533S,,"225,00",AVANTGARDE,MODIFIED RECTANGLE,,tortoise,shiny,0
19,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635C1,F,FULL RIM,Sun,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,272,NUDE,CHINA ONLY,"112,50","92,50",CK24533S,,"225,00",AVANTGARDE,MODIFIED RECTANGLE,,beige,shiny,0
20,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635D1,U,FULL RIM,Sun,54-19-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,1,BLACK,CHINA ONLY,"112,50","92,50",CK24534S,Potential ADV,"225,00",AVANTGARDE,CAT EYE,,black,shiny,0
21,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635D1,U,FULL RIM,Sun,54-19-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,235,DARK HAVANA,CHINA ONLY,"112,50","92,50",CK24534S,Potential ADV,"225,00",AVANTGARDE,CAT EYE,,tortoise,shiny,0
22,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635D1,U,FULL RIM,Sun,54-19-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,278,LIGHT BROWN,CHINA ONLY,"112,50","92,50",CK24534S,Potential ADV,"225,00",AVANTGARDE,CAT EYE,,brown,shiny,0
23,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635D1,U,FULL RIM,Sun,54-19-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,970,CRYSTAL,CHINA ONLY,"112,50","92,50",CK24534S,Potential ADV,"225,00",AVANTGARDE,CAT EYE,,crystal,shiny,0
24,Sun,4,"190,00",CALVIN KLEIN - SEP 2024,E8639G1,F,FULL RIM,Sun,55-17-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,2,BLACK/CHARCOAL,CHINA ONLY,"104,50","86,00",CK24535S,,"209,00",AVANTGARDE,BUTTERFLY,,black,shiny,1
25,Sun,4,"190,00",CALVIN KLEIN - SEP 2024,E8639G1,F,FULL RIM,Sun,55-17-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,226,BROWN/LIGHT BROWN,CHINA ONLY,"104,50","86,00",CK24535S,,"209,00",AVANTGARDE,BUTTERFLY,,brown,shiny,1
26,Sun,4,"190,00",CALVIN KLEIN - SEP 2024,E8639G1,F,FULL RIM,Sun,55-17-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,240,HAVANA,CHINA ONLY,"104,50","86,00",CK24535S,,"209,00",AVANTGARDE,BUTTERFLY,,tortoise,shiny,0
27,Sun,4,"190,00",CALVIN KLEIN - SEP 2024,E8639G1,F,FULL RIM,Sun,55-17-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,272,NUDE,CHINA ONLY,"104,50","86,00",CK24535S,,"209,00",AVANTGARDE,BUTTERFLY,,beige,shiny,0
28,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E8639F1,M,FULL RIM,Sun,53-19-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,5,BLACK/AVIO,CHINA ONLY,"104,50","86,00",CK24536S,,"209,00",AVANTGARDE,MODIFIED RECTANGLE,,black,shiny,1
29,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E8639F1,M,FULL RIM,Sun,53-19-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,235,DARK HAVANA,CHINA ONLY,"104,50","86,00",CK24536S,,"209,00",AVANTGARDE,MODIFIED RECTANGLE,,tortoise,shiny,0
